Entry	Gene names	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Date of last modification	Version (entry)
Q9NUA8	ZBTB40 KIAA0478	1239			ZBTB40	KIAA0478	8/12/20	170
Q6ZS27	ZNF662	426			ZNF662		8/12/20	147
Q03936	ZNF92	586			ZNF92		8/12/20	185
Q8N7Q3	ZNF676	588			ZNF676		8/12/20	143
Q9NYG2	ZDHHC3 HSD49	299		HSD49	ZDHHC3		8/12/20	152
Q8NAF0	ZNF579	562			ZNF579		8/12/20	150
Q9HBT8	ZNF286A KIAA1874 ZNF286	521			ZNF286A	KIAA1874 ZNF286	8/12/20	177
Q5HYK9	ZNF667	610			ZNF667		8/12/20	137
Q8TF47	ZFP90 KIAA1954 ZNF756	636			ZFP90	KIAA1954 ZNF756	8/12/20	163
Q5T2L2	AKR1C8P AKR1CL1	129			AKR1C8P	AKR1CL1	8/12/20	107
Q96KC2	ARL5B ARL8	179			ARL5B	ARL8	8/12/20	155
Q9BYX7	POTEKP ACTBL3 FKSG30	375		FKSG30	POTEKP	ACTBL3	8/12/20	126
Q9UJX5	ANAPC4 APC4	808			ANAPC4	APC4	8/12/20	172
Q6UW56	ATRAID APR3 C2orf28 HSPC013 UNQ214/PRO240	229		HSPC013 UNQ214/PRO240	ATRAID	APR3 C2orf28	8/12/20	135
O43747	AP1G1 ADTG CLAPG1	822			AP1G1	ADTG CLAPG1	8/12/20	199
A6QL64	ANKRD36 ANKRD36A KIAA1641 UNQ2430/PRO499	1915		UNQ2430/PRO499	ANKRD36	ANKRD36A KIAA1641	8/12/20	98
P19961	AMY2B	511			AMY2B		8/12/20	192
Q3KR37	GRAMD1B KIAA1201 UNQ3032/PRO9834	738		UNQ3032/PRO9834	GRAMD1B	KIAA1201	8/12/20	110
O14617	AP3D1 PRO0039	1153		PRO0039	AP3D1		8/12/20	196
P61160	ACTR2 ARP2	394			ACTR2	ARP2	8/12/20	163
Q8N9V6	ANKRD53	530			ANKRD53		8/12/20	125
Q9ULI0	ATAD2B KIAA1240	1458			ATAD2B	KIAA1240	8/12/20	146
Q96LA8	PRMT6 HRMT1L6	375			PRMT6	HRMT1L6	8/12/20	176
Q9H1Y0	ATG5 APG5L ASP	275			ATG5	APG5L ASP	8/12/20	178
P05496	ATP5MC1 ATP5G1	136			ATP5MC1	ATP5G1	8/12/20	194
P03928	MT-ATP8 ATP8 ATPASE8 MTATP8	68			MT-ATP8	ATP8 ATPASE8 MTATP8	8/12/20	184
Q5T1B0	AXDND1 C1orf125	1012			AXDND1	C1orf125	8/12/20	107
Q9C0B6	BRINP2 DBCCR1L2 FAM5B KIAA1747	783			BRINP2	DBCCR1L2 FAM5B KIAA1747	8/12/20	123
Q6ZW61	BBS12 C4orf24	710			BBS12	C4orf24	8/12/20	142
Q6RI45	BRWD3	1802			BRWD3		8/12/20	139
P22003	BMP5	454			BMP5		8/12/20	186
Q8TDM0	BCAS4	211			BCAS4		8/12/20	139
Q6WN34	CHRDL2 BNF1 CHL2 UNQ765/PRO1557	429		UNQ765/PRO1557	CHRDL2	BNF1 CHL2	8/12/20	129
P09919	CSF3 C17orf33 GCSF	207			CSF3	C17orf33 GCSF	8/12/20	212
P13073	COX4I1 COX4	169			COX4I1	COX4	8/12/20	204
A6NCJ1	C19orf71	209			C19orf71		8/12/20	73
P68400	CSNK2A1 CK2A1	391			CSNK2A1	CK2A1	8/12/20	185
Q6UWU4	C6orf89 BRAP UNQ177/PRO203	347		UNQ177/PRO203	C6orf89	BRAP	8/12/20	117
Q7Z7K0	CMC1 C3orf68	106			CMC1	C3orf68	8/12/20	113
P46108	CRK	304			CRK		8/12/20	214
Q53ET0	CRTC2 TORC2	693			CRTC2	TORC2	8/12/20	126
O14810	CPLX1	134			CPLX1		8/12/20	150
Q8IY22	CMIP KIAA1694 TCMIP	773			CMIP	KIAA1694 TCMIP	8/12/20	143
Q9UH73	EBF1 COE1 EBF	591			EBF1	COE1 EBF	8/12/20	167
Q10570	CPSF1 CPSF160	1443			CPSF1	CPSF160	8/12/20	180
P49711	CTCF	727			CTCF		8/12/20	203
O43405	COCH COCH5B2 UNQ257/PRO294	550		UNQ257/PRO294	COCH	COCH5B2	8/12/20	197
O60716	CTNND1 KIAA0384	968			CTNND1	KIAA0384	8/12/20	203
P49447	CYB561	251			CYB561		8/12/20	177
Q969M2	GJA10 CX62	543			GJA10	CX62	8/12/20	144
Q8NEP3	DNAAF1 LRRC50	725			DNAAF1	LRRC50	8/12/20	151
Q9NQC7	CYLD CYLD1 KIAA0849 HSPC057	956		HSPC057	CYLD	CYLD1 KIAA0849	8/12/20	184
P35212	GJA4	333			GJA4		8/12/20	174
Q9H1P6	C20orf85	137			C20orf85		8/12/20	111
Q9NUD7	C20orf96	363			C20orf96		8/12/20	119
O43602	DCX DBCN LISX	365			DCX	DBCN LISX	8/12/20	200
Q30KQ9	DEFB110 DEFB10 DEFB11 DEFB111	67			DEFB110	DEFB10 DEFB11 DEFB111	8/12/20	105
P51397	DAP DAP1	102			DAP	DAP1	8/12/20	133
Q9Y2R4	DDX52 ROK1 HUSSY-19	599		HUSSY-19	DDX52	ROK1	8/12/20	178
O14576	DYNC1I1 DNCI1 DNCIC1	645			DYNC1I1	DNCI1 DNCIC1	8/12/20	183
Q9Y6K1	DNMT3A	912			DNMT3A		8/12/20	185
Q9Y4D2	DAGLA C11orf11 KIAA0659 NSDDR	1042			DAGLA	C11orf11 KIAA0659 NSDDR	8/12/20	146
Q14185	DOCK1	1865			DOCK1		8/12/20	182
Q96N67	DOCK7 KIAA1771	2140			DOCK7	KIAA1771	8/12/20	168
Q13316	DMP1	513			DMP1		8/12/20	159
Q7Z5J1	HSD11B1L HSD3 SCDR10 SDR26C2	315			HSD11B1L	HSD3 SCDR10 SDR26C2	8/12/20	127
Q96HY7	DHTKD1 KIAA1630	919			DHTKD1	KIAA1630	8/12/20	143
Q8NBQ5	HSD17B11 DHRS8 PAN1B SDR16C2 PSEC0029 UNQ207/PRO233	300		PSEC0029 UNQ207/PRO233	HSD17B11	DHRS8 PAN1B SDR16C2	8/12/20	158
Q9NXW2	DNAJB12	375			DNAJB12		8/12/20	173
Q9C005	DPY30	99			DPY30		8/12/20	161
Q8TB45	DEPTOR DEPDC6	409			DEPTOR	DEPDC6	8/12/20	145
Q15075	EEA1 ZFYVE2	1411			EEA1	ZFYVE2	8/12/20	175
Q14204	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	4646			DYNC1H1	DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	8/12/20	208
P0DKL9	ARL14EPL	152			ARL14EPL		8/12/20	47
Q3I5F7	ACOT6 C14orf42	207			ACOT6	C14orf42	8/12/20	104
Q8NHS2	GOT1L1	421			GOT1L1		8/12/20	128
P28223	HTR2A HTR2	471			HTR2A	HTR2	8/12/20	207
Q9NRA8	EIF4ENIF1	985			EIF4ENIF1		8/12/20	175
P28222	HTR1B HTR1DB	390			HTR1B	HTR1DB	8/12/20	187
Q16352	INA NEF5	499			INA	NEF5	8/12/20	184
P04424	ASL	464			ASL		8/12/20	223
P55064	AQP5	265			AQP5		8/12/20	165
Q9NR81	ARHGEF3	526			ARHGEF3		8/12/20	165
Q6T311	ARL9	187			ARL9		8/12/20	137
O60678	PRMT3 HRMT1L3	531			PRMT3	HRMT1L3	8/12/20	180
P07307	ASGR2 CLEC4H2	311			ASGR2	CLEC4H2	8/12/20	195
P06576	ATP5F1B ATP5B ATPMB ATPSB	529			ATP5F1B	ATP5B ATPMB ATPSB	8/12/20	237
Q9BXC9	BBS2	721			BBS2		8/12/20	168
Q7Z6A9	BTLA	289			BTLA		8/12/20	146
O95861	BPNT1	308			BPNT1		8/12/20	169
Q9H3Q1	CDC42EP4 BORG4 CEP4	356			CDC42EP4	BORG4 CEP4	8/12/20	161
O14503	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	412			BHLHE40	BHLHB2 DEC1 SHARP2 STRA13	8/12/20	180
O60512	B4GALT3	393			B4GALT3		8/12/20	182
Q9NVE4	CCDC87	849			CCDC87		8/12/20	113
Q76M96	CCDC80 DRO1 URB HBE245	950		HBE245	CCDC80	DRO1 URB	8/12/20	131
Q9UF02	CACNG5	275			CACNG5		8/12/20	150
Q567U6	CCDC93	631			CCDC93		8/12/20	116
Q96LW7	CARD19 C9orf89	228			CARD19	C9orf89	8/12/20	154
P59052	B3GALT5-AS1 C21orf88	145			B3GALT5-AS1	C21orf88	8/12/20	98
Q8N6N3	C1orf52 BAG GM117	182		GM117	C1orf52	BAG	8/12/20	130
Q9BR77	CCDC77	488			CCDC77		8/12/20	122
Q8IYK2	CCDC105	499			CCDC105		8/12/20	108
P11586	MTHFD1 MTHFC MTHFD	935			MTHFD1	MTHFC MTHFD	8/12/20	229
Q96NT0	CCDC115	180			CCDC115		8/12/20	125
Q96GE6	CALML4	196			CALML4		8/12/20	141
Q99675	CGRRF1 CGR19 RNF197	332			CGRRF1	CGR19 RNF197	8/12/20	155
P17676	CEBPB TCF5 PP9092	345		PP9092	CEBPB	TCF5	8/12/20	217
Q9UPZ9	CILK1 ICK KIAA0936	632			CILK1	ICK KIAA0936	8/12/20	176
Q9ULG3	CFAP92 KIAA1257	409			CFAP92	KIAA1257	8/12/20	110
Q6V702	CFAP299 C4orf22	233			CFAP299	C4orf22	8/12/20	105
P09497	CLTB	229			CLTB		8/12/20	183
G9CGD6	CNK3/IPCEF1	899			CNK3/IPCEF1		8/12/20	64
P02452	COL1A1	1464			COL1A1		8/12/20	242
Q9HA82	CERS4 LASS4	394			CERS4	LASS4	8/12/20	164
P56746	CLDN15	228			CLDN15		8/12/20	134
P07358	C8B	591			C8B		8/12/20	195
Q8IUQ0	CLVS1 CRALBPL RLBP1L1	354			CLVS1	CRALBPL RLBP1L1	8/12/20	138
G3V211	LINC01619 C12orf79	115			LINC01619	C12orf79	8/12/20	60
Q14031	COL4A6	1691			COL4A6		8/12/20	204
Q15003	NCAPH BRRN BRRN1 CAPH KIAA0074	741			NCAPH	BRRN BRRN1 CAPH KIAA0074	8/12/20	177
Q8WTT0	CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150	213		UNQ9361/PRO34150	CLEC4C	BDCA2 CLECSF11 CLECSF7 DLEC HECL	8/12/20	151
Q6ZS10	CLEC17A	378			CLEC17A		8/12/20	120
Q86T13	CLEC14A C14orf27 EGFR5 UNQ236/PRO269	490		UNQ236/PRO269	CLEC14A	C14orf27 EGFR5	8/12/20	150
Q9NWW5	CLN6	311			CLN6		8/12/20	168
Q9P2M7	CGN KIAA1319	1197			CGN	KIAA1319	8/12/20	150
Q14008	CKAP5 KIAA0097	2032			CKAP5	KIAA0097	8/12/20	193
Q9H9Q2	COPS7B CSN7B	264			COPS7B	CSN7B	8/12/20	145
Q99062	CSF3R GCSFR	836			CSF3R	GCSFR	8/12/20	201
O15551	CLDN3 C7orf1 CPETR2	220			CLDN3	C7orf1 CPETR2	8/12/20	167
A8MUP2	CSKMT METTL12	240			CSKMT	METTL12	8/12/20	92
P48444	ARCN1 COPD	511			ARCN1	COPD	8/12/20	176
Q6UXG3	CD300LG CLM9 TREM4 UNQ422/PRO846	332		UNQ422/PRO846	CD300LG	CLM9 TREM4	8/12/20	136
Q96HD1	CRELD1 CIRRIN UNQ188/PRO214	420		UNQ188/PRO214	CRELD1	CIRRIN	8/12/20	162
Q6V0L0	CYP26C1	522			CYP26C1		8/12/20	141
P20813	CYP2B6	491			CYP2B6		8/12/20	212
P39060	COL18A1	1754			COL18A1		8/12/20	216
Q16850	CYP51A1 CYP51	503			CYP51A1	CYP51	8/12/20	188
Q8WXF5	CRYGN	182			CRYGN		8/12/20	133
Q7KZN9	COX15	410			COX15		8/12/20	155
Q6VVX0	CYP2R1	501			CYP2R1		8/12/20	150
Q9H0W9	C11orf54 LP4947 PTD012	315		LP4947 PTD012	C11orf54		8/12/20	141
O43739	CYTH3 ARNO3 GRP1 PSCD3	400			CYTH3	ARNO3 GRP1 PSCD3	8/12/20	179
Q8WZ74	CTTNBP2 C7orf8 CORTBP2 KIAA1758	1663			CTTNBP2	C7orf8 CORTBP2 KIAA1758	8/12/20	138
O76096	CST7	145			CST7		8/12/20	163
Q13617	CUL2	745			CUL2		8/12/20	192
P25686	DNAJB2 HSJ1 HSPF3	324			DNAJB2	HSJ1 HSPF3	8/12/20	189
P49448	GLUD2 GLUDP1	558			GLUD2	GLUDP1	8/12/20	174
Q4LDG9	DNAL1 C14orf168	190			DNAL1	C14orf168	8/12/20	132
Q9BUN8	DERL1 DER1 UNQ243/PRO276	251		UNQ243/PRO276	DERL1	DER1	8/12/20	165
Q13474	DRP2	957			DRP2		8/12/20	161
Q5VTE0	EEF1A1P5 EEF1AL3	462			EEF1A1P5	EEF1AL3	8/12/20	109
P31946	YWHAB	246			YWHAB		8/12/20	229
Q8WWZ7	ABCA5 KIAA1888	1642			ABCA5	KIAA1888	8/12/20	139
O15382	BCAT2 BCATM BCT2 ECA40	392			BCAT2	BCATM BCT2 ECA40	8/12/20	192
P12644	BMP4 BMP2B DVR4	408			BMP4	BMP2B DVR4	8/12/20	218
P36894	BMPR1A ACVRLK3 ALK3	532			BMPR1A	ACVRLK3 ALK3	8/12/20	231
Q8NFU1	BEST2 VMD2L1	509			BEST2	VMD2L1	8/12/20	144
P48751	SLC4A3 AE3	1232			SLC4A3	AE3	8/12/20	174
Q13829	TNFAIP1 BACURD2 EDP1	316			TNFAIP1	BACURD2 EDP1	8/12/20	178
Q9Y5Z6	B3GALT1	326			B3GALT1		8/12/20	143
Q6PL45	BRICD5 C16orf79	260			BRICD5	C16orf79	8/12/20	103
Q9BXK5	BCL2L13 MIL1 CD003	485		CD003	BCL2L13	MIL1	8/12/20	178
O60513	B4GALT4 UNQ552/PRO1109	344		UNQ552/PRO1109	B4GALT4		8/12/20	183
Q86UT8	CCDC84 DLNB14	332		DLNB14	CCDC84		8/12/20	108
Q9BYG0	B3GNT5	378			B3GNT5		8/12/20	134
Q8NHY0	B4GALNT2 GALGT2	566			B4GALNT2	GALGT2	8/12/20	131
H3BU77	CCDC179	68			CCDC179		8/12/20	42
P22223	CDH3 CDHP	829			CDH3	CDHP	8/12/20	199
Q96PX6	CCDC85A KIAA1912	553			CCDC85A	KIAA1912	8/12/20	108
Q8WWF1	C1orf54	131			C1orf54		8/12/20	108
O60359	CACNG3	315			CACNG3		8/12/20	160
Q8N9Z2	CCDC71L C7orf74	235			CCDC71L	C7orf74	8/12/20	110
Q8N8R5	C2orf69	385			C2orf69		8/12/20	106
Q96KC9	CABS1 C4orf35	395			CABS1	C4orf35	8/12/20	104
Q8TAB7	CCDC26 RAM	109			CCDC26	RAM	8/12/20	81
Q9ULX7	CA14 UNQ690/PRO1335	337		UNQ690/PRO1335	CA14		8/12/20	172
Q9NS85	CA10 hucep-15 UNQ533/PRO1076	328		hucep-15 UNQ533/PRO1076	CA10		8/12/20	151
A5D8V7	CCDC151	595			CCDC151		8/12/20	110
Q5TEV5	C1orf134	83			C1orf134		8/12/20	67
Q9UNH5	CDC14A	594			CDC14A		8/12/20	167
Q96GN5	CDCA7L HR1 JPO2 R1	454			CDCA7L	HR1 JPO2 R1	8/12/20	146
P40198	CEACAM3 CD66D CGM1	252			CEACAM3	CD66D CGM1	8/12/20	172
Q6P1X6	C8orf82	216			C8orf82		8/12/20	109
Q00534	CDK6 CDKN6	326			CDK6	CDKN6	8/12/20	218
Q5EE01	CENPW C6orf173 CUG2	88			CENPW	C6orf173 CUG2	8/12/20	135
P06493	CDK1 CDC2 CDC28A CDKN1 P34CDC2	297			CDK1	CDC2 CDC28A CDKN1 P34CDC2	8/12/20	253
Q8IYR0	CFAP206 C6orf165	622			CFAP206	C6orf165	8/12/20	127
Q9GZS9	CHST5	411			CHST5		8/12/20	142
Q8ND76	CCNY C10orf9 CBCP1 CFP1	341			CCNY	C10orf9 CBCP1 CFP1	8/12/20	169
Q8IWV2	CNTN4	1026			CNTN4		8/12/20	151
Q02246	CNTN2 AXT TAG1 TAX1	1040			CNTN2	AXT TAG1 TAX1	8/12/20	196
Q9H2U6	LINC00597 C15orf5	94			LINC00597	C15orf5	8/12/20	76
Q9NWQ9	C14orf119 My028	140		My028	C14orf119		8/12/20	128
P25067	COL8A2	703			COL8A2		8/12/20	188
Q9BPX3	NCAPG CAPG NYMEL3	1015			NCAPG	CAPG NYMEL3	8/12/20	176
Q16280	CNGA2 CNCA CNCA1 CNCG2	664			CNGA2	CNCA CNCA1 CNCG2	8/12/20	162
P12110	COL6A2	1019			COL6A2		8/12/20	224
P01031	C5 CPAMD4	1676			C5	CPAMD4	8/12/20	226
Q9Y2B0	CNPY2 MSAP TMEM4 ZSIG9 UNQ1943/PRO4426	182		UNQ1943/PRO4426	CNPY2	MSAP TMEM4 ZSIG9	8/12/20	155
E9PRG8	C11orf98	123			C11orf98		8/12/20	53
Q9NSE2	CISH G18	258			CISH	G18	8/12/20	169
Q9HAW4	CLSPN	1339			CLSPN		8/12/20	157
Q32NC0	C18orf21 XTP13 PNAS-124 PNAS-131	220		PNAS-124 PNAS-131	C18orf21	XTP13	8/12/20	113
Q96B23	C18orf25 ARKL1	404			C18orf25	ARKL1	8/12/20	132
Q9BYE9	CDHR2 PCDH24 PCLKC	1310			CDHR2	PCDH24 PCLKC	8/12/20	159
P02741	CRP PTX1	224			CRP	PTX1	8/12/20	230
P54107	CRISP1 AEGL1	249			CRISP1	AEGL1	8/12/20	162
Q8IZJ3	CPAMD8 KIAA1283	1885			CPAMD8	KIAA1283	8/12/20	133
Q96A23	CPNE4	557			CPNE4		8/12/20	144
Q8NE35	CPEB3 KIAA0940	698			CPEB3	KIAA0940	8/12/20	149
Q03060	CREM	345			CREM		8/12/20	199
Q6PH81	C16orf87	154			C16orf87		8/12/20	125
Q8N684	CPSF7	471			CPSF7		8/12/20	172
Q92904	DAZL DAZH DAZL1 DAZLA SPGYLA	295			DAZL	DAZH DAZL1 DAZLA SPGYLA	8/12/20	180
Q9NUU7	DDX19A DDX19L	478			DDX19A	DDX19L	8/12/20	175
Q9H295	DCSTAMP TM7SF4	470			DCSTAMP	TM7SF4	8/12/20	137
Q6PH85	DCUN1D2 C13orf17 DCUN1L2	259			DCUN1D2	C13orf17 DCUN1L2	8/12/20	135
O00115	DNASE2 DNASE2A DNL2	360			DNASE2	DNASE2A DNL2	8/12/20	178
Q5T7M9	DIPK1A FAM69A	428			DIPK1A	FAM69A	8/12/20	127
Q9UQ10	DHDH 2DD	334			DHDH	2DD	8/12/20	133
Q99543	DNAJC2 MPHOSPH11 MPP11 ZRF1	621			DNAJC2	MPHOSPH11 MPP11 ZRF1	8/12/20	184
Q8IYX4	DND1 RBMS4	353			DND1	RBMS4	8/12/20	142
Q8TF46	DIS3L DIS3L1 KIAA1955	1054			DIS3L	DIS3L1 KIAA1955	8/12/20	126
Q8TE96	DQX1	717			DQX1		8/12/20	142
P51808	DYNLT3 TCTE1L TCTE1XL	116			DYNLT3	TCTE1L TCTE1XL	8/12/20	152
Q14574	DSC3 CDHF3 DSC4	896			DSC3	CDHF3 DSC4	8/12/20	182
P21918	DRD5 DRD1B DRD1L2	477			DRD5	DRD1B DRD1L2	8/12/20	212
P63167	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	89			DYNLL1	DLC1 DNCL1 DNCLC1 HDLC1	8/12/20	172
P00374	DHFR	187			DHFR		8/12/20	216
P05305	EDN1	212			EDN1		8/12/20	213
P10109	FDX1 ADX	184			FDX1	ADX	8/12/20	195
P05091	ALDH2 ALDM	517			ALDH2	ALDM	8/12/20	239
O14514	ADGRB1 BAI1	1584			ADGRB1	BAI1	8/12/20	182
P43652	AFM ALB2 ALBA	599			AFM	ALB2 ALBA	8/12/20	168
Q9UJX3	ANAPC7 APC7	599			ANAPC7	APC7	8/12/20	191
P35348	ADRA1A ADRA1C	466			ADRA1A	ADRA1C	8/12/20	202
Q92974	ARHGEF2 KIAA0651 LFP40	986			ARHGEF2	KIAA0651 LFP40	8/12/20	203
P04745	AMY1A AMY1; AMY1B AMY1; AMY1C AMY1	511	; ; 	; ; 	AMY1A; AMY1B; AMY1C	AMY1; AMY1; AMY1	8/12/20	223
C9JTQ0	ANKRD63	380			ANKRD63		8/12/20	80
O14791	APOL1 APOL	398			APOL1	APOL	8/12/20	177
Q9BWW8	APOL6 UNQ3095/PRO21341	343		UNQ3095/PRO21341	APOL6		8/12/20	139
O76027	ANXA9 ANX31	345			ANXA9	ANX31	8/12/20	170
P04746	AMY2A	511			AMY2A		8/12/20	212
P19801	AOC1 ABP1 DAO1	751			AOC1	ABP1 DAO1	8/12/20	202
P55345	PRMT2 HMT1 HRMT1L1	433			PRMT2	HMT1 HRMT1L1	8/12/20	179
Q96PC3	AP1S3	154			AP1S3		8/12/20	151
Q6HA08	ASTL	431			ASTL		8/12/20	117
Q9BXS5	AP1M1 CLTNM	423			AP1M1	CLTNM	8/12/20	170
P27338	MAOB	520			MAOB		8/12/20	204
Q7Z4Y8	ATP5MGL ATP5K2 ATP5L2	100			ATP5MGL	ATP5K2 ATP5L2	8/12/20	105
Q9UII2	ATP5IF1 ATPI ATPIF1	106			ATP5IF1	ATPI ATPIF1	8/12/20	168
Q92485	SMPDL3B ASML3B ASMLPD	455			SMPDL3B	ASML3B ASMLPD	8/12/20	159
Q99929	ASCL2 BHLHA45 HASH2	193			ASCL2	BHLHA45 HASH2	8/12/20	157
Q9NR48	ASH1L KIAA1420 KMT2H	2969			ASH1L	KIAA1420 KMT2H	8/12/20	167
Q9UHC3	ASIC3 ACCN3 SLNAC1 TNAC1	531			ASIC3	ACCN3 SLNAC1 TNAC1	8/12/20	157
P58397	ADAMTS12 UNQ1918/PRO4389	1594		UNQ1918/PRO4389	ADAMTS12		8/12/20	186
P00846	MT-ATP6 ATP6 ATPASE6 MTATP6	226			MT-ATP6	ATP6 ATPASE6 MTATP6	8/12/20	200
Q9H165	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	835			BCL11A	CTIP1 EVI9 KIAA1809 ZNF856	8/12/20	180
Q6ZUJ4	C3orf62	267			C3orf62		8/12/20	103
P0C862	C1QTNF9 C1QTNF9A UNQ6503/PRO21380	333		UNQ6503/PRO21380	C1QTNF9	C1QTNF9A	8/12/20	94
Q13948	CUX1 CUTL1	678			CUX1	CUTL1	8/12/20	140
Q9P296	C5AR2 C5L2 GPR77	337			C5AR2	C5L2 GPR77	8/12/20	159
O15078	CEP290 BBS14 KIAA0373 NPHP6	2479			CEP290	BBS14 KIAA0373 NPHP6	8/12/20	184
Q5SZQ8	CELF3 BRUNOL1 CAGH4 ERDA4 TNRC4	465			CELF3	BRUNOL1 CAGH4 ERDA4 TNRC4	8/12/20	143
P60033	CD81 TAPA1 TSPAN28	236			CD81	TAPA1 TSPAN28	8/12/20	167
Q9H444	CHMP4B C20orf178 SHAX1	224			CHMP4B	C20orf178 SHAX1	8/12/20	167
Q5I0X4	C6orf226	101			C6orf226		8/12/20	92
Q99828	CIB1 CIB KIP PRKDCIP	191			CIB1	CIB KIP PRKDCIP	8/12/20	196
Q13042	CDC16 ANAPC6	620			CDC16	ANAPC6	8/12/20	192
Q96MD7	C9orf85	179			C9orf85		8/12/20	126
Q9BZW8	CD244 2B4	370			CD244	2B4	8/12/20	170
Q14004	CDK13 CDC2L CDC2L5 CHED KIAA1791	1512			CDK13	CDC2L CDC2L5 CHED KIAA1791	8/12/20	199
Q9H7U1	CCSER2 FAM190B KIAA1128 NPD012	834		NPD012	CCSER2	FAM190B KIAA1128	8/12/20	133
Q7LFX5	CHST15 BRAG GALNAC4S6ST KIAA0598	561			CHST15	BRAG GALNAC4S6ST KIAA0598	8/12/20	152
O14967	CLGN	610			CLGN		8/12/20	192
Q5IJ48	CRB2	1285			CRB2		8/12/20	148
Q96NY7	CLIC6 CLIC1L	704			CLIC6	CLIC1L	8/12/20	169
Q9BSJ5	C17orf80 HLC8 MIG3	609		HLC8 MIG3	C17orf80		8/12/20	123
Q2VPA4	CR1L	569			CR1L		8/12/20	120
Q6ZU35	CRACD CRAD KIAA1211	1233			CRACD	CRAD KIAA1211	8/12/20	123
Q9H799	CPLANE1 C5orf42 JBTS17	3197			CPLANE1	C5orf42 JBTS17	8/12/20	125
Q96MD2	C12orf66	445			C12orf66		8/12/20	126
Q96RY5	CRAMP1 C16orf34 CRAMP1L HN1L KIAA1426	1269			CRAMP1	C16orf34 CRAMP1L HN1L KIAA1426	8/12/20	142
Q8IYJ1	CPNE9	553			CPNE9		8/12/20	122
P29400	COL4A5	1685			COL4A5		8/12/20	227
Q8N1L4	CYP4Z2P	340			CYP4Z2P		8/12/20	123
Q6FI81	CIAPIN1 CUA001 PRO0915	312		CUA001 PRO0915	CIAPIN1		8/12/20	149
Q9BRF8	CPPED1 CSTP1	314			CPPED1	CSTP1	8/12/20	138
Q9BSU1	C16orf70 C16orf6	422			C16orf70	C16orf6	8/12/20	131
P10635	CYP2D6 CYP2DL1	497			CYP2D6	CYP2DL1	8/12/20	217
O14595	CTDSP2 NIF2 OS4 SCP2	271			CTDSP2	NIF2 OS4 SCP2	8/12/20	165
Q9H1C7	CYSTM1 C5orf32 ORF1-FL49	97		ORF1-FL49	CYSTM1	C5orf32	8/12/20	115
O75638	CTAG2 ESO2 LAGE1	210			CTAG2	ESO2 LAGE1	8/12/20	157
Q9UIA0	CYTH4 CYT4 PSCD4	394			CYTH4	CYT4 PSCD4	8/12/20	162
Q9NRR1	CYTL1 C4orf4 UNQ1942/PRO4425	136		UNQ1942/PRO4425	CYTL1	C4orf4	8/12/20	119
Q9H0A8	COMMD4	199			COMMD4		8/12/20	143
Q5VWQ8	DAB2IP AF9Q34 AIP1 KIAA1743	1189			DAB2IP	AF9Q34 AIP1 KIAA1743	8/12/20	161
Q8N668	COMMD1 C2orf5 MURR1	190			COMMD1	C2orf5 MURR1	8/12/20	149
P17538	CTRB1 CTRB	263			CTRB1	CTRB	8/12/20	179
Q07325	CXCL9 CMK MIG SCYB9	125			CXCL9	CMK MIG SCYB9	8/12/20	172
Q6IC83	C22orf42	251			C22orf42		8/12/20	101
P0DMU7	CT45A6 CT45-6	189			CT45A6	CT45-6	8/12/20	31
Q9BQM9	C20orf144	153			C20orf144		8/12/20	107
O15121	DEGS1 DES1 MLD MIG15	323		MIG15	DEGS1	DES1 MLD	8/12/20	164
A6NH13	DNAJC9-AS1 C10orf103	148			DNAJC9-AS1	C10orf103	8/12/20	59
O15075	DCLK1 DCAMKL1 DCDC3A KIAA0369	740			DCLK1	DCAMKL1 DCDC3A KIAA0369	8/12/20	195
Q9UKG1	APPL1 APPL DIP13A KIAA1428	709			APPL1	APPL DIP13A KIAA1428	8/12/20	171
Q9GZS0	DNAI2	605			DNAI2		8/12/20	167
P26196	DDX6 HLR2 RCK	483			DDX6	HLR2 RCK	8/12/20	213
Q8TF63	DCANP1 C5orf20 DCNP1	244			DCANP1	C5orf20 DCNP1	8/12/20	113
P78352	DLG4 PSD95	724			DLG4	PSD95	8/12/20	229
Q9P1A6	DLGAP2 C8orf68 DAP2 ERICH1-AS1	1054			DLGAP2	C8orf68 DAP2 ERICH1-AS1	8/12/20	152
C9J069	AJM1 C9orf172	976			AJM1	C9orf172	8/12/20	72
Q9GZX7	AICDA AID	198			AICDA	AID	8/12/20	170
Q495B1	ANKDD1A	522			ANKDD1A		8/12/20	130
P40394	ADH7	386			ADH7		8/12/20	187
P42025	ACTR1B CTRN2	376			ACTR1B	CTRN2	8/12/20	184
Q8TDY3	ACTRT2 ARPM2	377			ACTRT2	ARPM2	8/12/20	127
P62330	ARF6	175			ARF6		8/12/20	180
